escenario,familia,modelo,n_obs,n_features,RMSE,MAE,R2,AIC,BIC
escenario1,sklearn,DecisionTree,254,10,0.0,0.0,1.0,,
escenario1,sklearn,GaussianProcess,254,10,2.6965791175263362e-09,2.150873225807474e-09,1.0,,
escenario1,sklearn,HistGradientBoosting,254,10,2.409114941109002,1.8144144443057844,0.980332866163145,,
escenario1,sklearn,GradientBoosting,254,10,2.427691951242197,1.8901129530340803,0.9800283848823992,,
escenario1,sklearn,RandomForest,254,10,2.520355344893154,1.9583966918962168,0.9784746816303724,,
escenario1,sklearn,Bagging_Tree,254,10,2.5310540137185207,1.9586948640914401,0.9782915479008973,,
escenario1,sklearn,Stacking_ridge+rf_linear,254,10,2.734754882136597,2.1356882243673003,0.9746567187248861,,
escenario1,sklearn,SVR_rbf,254,10,7.1238466219432555,4.840321580263125,0.8280290256433365,,
escenario1,sklearn,KNN_5,254,10,9.310971801707455,7.575210379133858,0.7062241754977943,,
escenario1,sklearn,LinearRegression,254,10,10.176416219195966,7.95344681212373,0.6490738320621601,,
escenario1,statsmodels,OLS,254,10,10.176416219195968,7.953446812123622,0.6490738320621601,1921.417812032878,1960.3284889700817
escenario1,statsmodels,GLM_Gaussian,254,10,10.176416219195968,7.953446812123622,0.6490738320621601,1921.417812032878,24958.527327958443
escenario1,statsmodels,GLS,254,10,10.176416219195968,7.953446812123622,0.6490738320621601,1921.417812032878,1960.3284889700817
escenario1,sklearn,SGDRegressor,254,10,10.186196988708868,7.986513771339004,0.6483989427234598,,
escenario1,statsmodels,WLS_resid,254,10,10.1878691077277,7.883536111561964,0.6482834988398234,1534.458249139007,1573.3689260762108
escenario1,sklearn,RidgeCV,254,10,10.196549684959454,7.995326558096421,0.647683883175724,,
escenario1,sklearn,LassoCV,254,10,10.199768600111659,7.971984708916717,0.6474614050378904,,
escenario1,sklearn,ElasticNetCV,254,10,10.206076051293847,8.00149058048641,0.6470252564155599,,
escenario1,statsmodels,RLM_Huber,254,10,10.253784615082855,7.884475613998425,0.6437175645466291,,
escenario1,sklearn,HuberRegressor,254,10,10.426401394046346,7.805655930406786,0.631620960085743,,
escenario1,statsmodels,Quantile_tau0.5,254,10,10.776156937567077,7.721542819994794,0.6064917461090538,,
escenario2,sklearn,DecisionTree,772,9,0.27443042243010196,0.013968140725388602,0.9997324010778711,,
escenario2,sklearn,GaussianProcess,772,9,0.27443042243195687,0.013968405347944335,0.9997324010778674,,
escenario2,sklearn,RandomForest,772,9,2.953613903229383,2.072652451995784,0.9690024550208474,,
escenario2,sklearn,Bagging_Tree,772,9,2.9540303965412695,2.059892619695742,0.9689937123883711,,
escenario2,sklearn,HistGradientBoosting,772,9,3.2557558331295198,2.0470330075349095,0.9623362545325663,,
escenario2,sklearn,Stacking_ridge+rf_linear,772,9,3.88765254057389,2.8041278222693626,0.9462974711274388,,
escenario2,sklearn,GradientBoosting,772,9,5.627844458791175,4.024707348307168,0.8874607481924586,,
escenario2,sklearn,SVR_rbf,772,9,7.1176690803586,4.487263141380102,0.8199904953676868,,
escenario2,sklearn,KNN_5,772,9,7.646501612289076,5.6571197296553795,0.792247900955886,,
escenario2,statsmodels,OLS,772,9,9.0406160612313,6.825950638188347,0.7095871001413441,5610.308078040322,5656.797923540569
escenario2,statsmodels,GLM_Gaussian,772,9,9.0406160612313,6.825950638188347,0.7095871001413441,5610.308078040322,58031.148100691185
