x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,pred_deseada
70756.0,114.0,0.0,228.0,,932.0,670.0,,1.852278184508938,0.2375433249238776,42.766615044428455
131478.76,189.0,0.0,164.9,11.6,944.7,755.8,7.0,-0.07444591576616721,0.8381152896481102,42.13258802495308
152022.01,189.0,0.0,145.9,22.0,944.7,755.8,28.0,-0.7832532923362371,0.3270331615632387,71.88893154445722
131478.76,189.0,0.0,164.9,11.6,944.7,755.8,3.0,-0.5297602037670388,0.004939980934409616,32.20058313274717
21025.0,0.0,2.255272505103306,202.0,8.0,824.0,869.0,28.0,-0.4464336145505283,0.5174463517550413,14.505967333319095
76396.95999999999,116.0,1.960470777534299,179.6,8.9,870.1,768.3,28.0,0.4363236696740321,0.486000493797603,37.72086756533028
22201.0,139.0,2.041392685158225,193.0,6.0,,780.0,28.0,-0.1769472274940494,0.2922182304618978,20.20017417894972
63408.2761,0.0,2.004063300397667,146.14,12.35,1006.0,899.76,100.0,0.3241663524884421,0.5538022407123763,41.89405601550997
,,2.005995123054691,159.35,10.37,1003.8,903.79,28.0,-0.05952535606180008,0.8941908746641183,29.358036142561897
154449.0,0.0,0.0,192.0,,940.6,785.6,90.0,,0.8407030280112,49.27838693284155
97969.0,0.0,0.0,178.0,8.0,1000.0,822.0,28.0,,0.4304274103209902,35.72810643889547
29002.09,155.5,0.0,185.7,0.0,1026.6,724.3,7.0,-0.2698749352933713,0.6764679372263622,16.337874425754144
219961.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,0.08704706823817122,0.531169528001032,40.50428217686472
104781.69,282.8,0.0,183.8,10.3,942.7,659.9,7.0,0.174577812831839,0.1771497894473859,40.768768428916125
30116.1316,50.05,2.241870088685619,164.77,6.47,,793.5,14.0,0.6453759495851475,0.09808258078424459,25.876445434686808
51984.0,342.1,0.0,185.7,,955.8,674.3,7.0,0.1818662550584952,0.6195893374598407,23.9261393517631
101124.0,0.0,2.103803720955957,210.0,6.0,861.0,737.0,28.0,1.189016531107552,0.9071950307058299,32.348116089114114
62600.03999999999,166.8,0.0,203.5,,,694.1,,-0.7128457826771644,0.9062545805210367,33.66744379773836
74529.0,105.0,1.919078092376074,,9.0,904.0,680.0,28.0,,0.1262647415645027,41.028604153994785
27225.0,128.5,2.124178055474675,,,1005.8,,14.0,2.060747924881987,0.1097361986775035,22.997025099744974
74419.84000000001,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,-0.9787637157823074,,33.9994422080467
27225.0,,2.160078181020871,163.81,0.0,,900.9,100.0,-0.553649305347182,0.7163233880626823,32.74116993622023
87444.40409999999,0.0,1.985156921277057,171.54,8.87,955.14,859.2,56.0,0.8254163489880298,0.03616038052476211,37.476128786582095
27822.24000000001,250.2,0.0,203.5,0.0,975.6,,3.0,0.6962063648134184,0.4964611523552998,8.930914748325197
46182.01,,2.089516544224821,155.63,9.61,,,14.0,-0.4012204718858363,0.5061418628402441,30.126331786095296
62050.81,0.0,,158.11,12.8,987.76,889.01,,0.5951570254369136,0.4472025405048357,31.213505460688552
50625.0,0.0,0.0,181.0,,1113.0,833.0,7.0,1.094191518470949,0.3622354416522884,12.309645830285056
97969.0,145.0,,178.0,8.0,1002.0,689.0,28.0,-0.0952955323869521,0.6692002629380784,44.889205426075335
45582.25,0.0,2.243633244506138,159.21,11.66,1043.6,771.9,100.0,-0.5305011476105275,0.6613706110704144,46.48710071418663
114921.0,0.0,0.0,,0.0,968.0,781.0,3.0,-0.4442932600761116,0.2698207201282143,15.704522130684603
164025.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,1.179440120721287,0.5270414639116516,46.15348971618227
154449.0,0.0,0.0,192.0,,940.6,,28.0,-0.8604133652839524,0.7328015447662506,37.67699350877904
41412.25,305.3,0.0,203.5,,,630.0,90.0,0.3078017688920592,0.6509734671509542,47.060683934717744
60925.04890000001,0.0,2.10064620014548,143.3,11.99,1086.8,800.89,100.0,-0.6771617115121117,0.8779743204450695,42.07754241505967
,129.9,2.112672017117132,175.46,7.79,1006.3,746.6,,0.514438834058749,,39.469856066618775
110556.25,142.5,0.0,228.0,0.0,932.0,594.0,28.0,0.9755451271223592,0.2487142725876299,38.99935695887231
45164.7504,0.0,2.005909446494559,159.32,8.71,1007.8,903.59,28.0,1.266911149186623,0.7243388171287412,22.94996996273675
70862.43999999999,112.3,1.946943270697825,177.9,10.4,909.7,744.5,28.0,-1.430775102118048,0.6170665161178013,40.79212059080409
17689.0,200.0,,192.0,0.0,927.4,839.2,7.0,0.7129984301723881,0.05225787928602377,10.577706070009397
88304.06560000002,0.0,2.073864922902999,174.8,9.52,1022.8,753.45,56.0,0.2449665711087228,0.3460997265377855,41.488295405586584
90000.0,0.0,0.0,184.0,0.0,1075.0,795.0,7.0,-1.654856671865769,0.5180787662388154,15.723070054614803
13456.0,173.0,0.0,192.0,0.0,909.8,891.9,3.0,-2.081929407883722,0.06766836190000158,7.201371096229908
39441.96,132.4,0.0,192.0,0.0,978.4,825.5,90.0,-0.4634176928124623,0.9876495637360578,37.37624863146649
149769.0,20.0,1.977723605288848,157.0,14.32,938.0,845.0,28.0,-1.422253709597674,0.774633780637788,36.98723604965396
52886.2009,0.0,2.076676845705643,195.47,4.63,1029.4,758.59,3.0,3.852731490654721,0.5502265421562618,11.412946506797251
139876.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,-1.230864316433955,0.7622851347766157,66.42631422273152
148225.0,,2.136720567156407,158.0,20.0,,768.0,28.0,0.9504238381860503,0.5094221281497897,39.91600154397787
94249.0,0.0,0.0,,0.0,968.0,812.0,365.0,1.882024496475034,0.1183361909233873,38.475967562922484
91204.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,-0.4455025214007718,0.3523749466096544,25.825421360264357
,212.0,0.0,203.5,0.0,971.8,748.5,3.0,0.1503017614618776,,13.06161400944082
103041.0,164.0,0.0,,5.0,870.0,774.0,28.0,,0.3039464012407238,51.35102160139212
55696.0,157.0,0.0,192.0,0.0,972.6,749.1,90.0,-0.3748208075495975,0.2601577909620512,45.91864962839913
